Population,Stat Area,CU,Year,Original Escapement Estimate,Database Estimate,Recommended Estimate,# Surveys Used in Estimate,Analysis Method (Pre 2004),Analysis Reliability (Pre 2004),Annual Est. Method,Annual Est. Classification,Recommended Method,Recommended Classification,Peak Timing Covered? (Y/N) (Peak Time),QA Comments,Annual Est. Rationale,AUC Recalculation,# of Surveys
cascade,8,northern_coastal,1989,NA,N/I,N/I,,,,,,,,N (NOV),"According to the annual estimates provided from both NuSEDs and the SEN, coho was not inspected this year. As it is unclear from the SILs and SEN whether spawners were not observed in the system or were observed and simply not counted, N/I is likely the appropriate annual estimate as opposed to N/O. Peak timing is not provided on the SEN. Using the run timing listed in the stream catalogue, peak spawning occurs in NOV. Since the last survey of the season was conducted on 7 Sep, peak spawning was likely missed.",Log jam on right for making it difficult for coho and chum to gain access to upper reaches. No coho inspections this season.,,6
cascade,8,northern_coastal,1990,NA,N/I,A/P,,,,,,,,N (NOV),"According to the annual estimates provided from both NuSEDs and the SEN, coho was not inspected this year. However, there is a coho count provided on the 25 Sep SIL (1 adult live observed). While there may not have been any inspections specifically to target coho, the count provided clearly shows there were spawners observed in the system. Peak timing is not provided on the SEN. Using the run timing listed in the stream catalogue, peak spawning occurs in NOV. Since the only survey in which coho were observed was on 25 Sep (last survey of the season was 8 Oct), peak spawning was likely missed. Recommend changing annual estimate to A/P.",No coho inspections this year.,,11
cascade,8,northern_coastal,1991,375,375,375,UNK,1,1,,,,,N (NOV),"Coho were observed in 3/8* SILs (Sep 15, 24, Oct 13). It is unclear exactly how the estimate was generated. There are no SEN comments this year, and the only mention of coho in SIL comments is from 13 Oct stating that the total to date is 373 which was then rounded up to 375. Viewing conditions are not reported. Peak timing is indicated in the SEN as NOV, at which point the survey period had ended. ",,,8*
cascade,8,northern_coastal,1992,NA,6,A/P,UNK,1,1,,,,,N (OCT),"Coho were observed in 3/8* SILs (Sep 3, 17, 18). Peak timing is indicated in the SEN as OCT. There was a survey during this period (2 Oct), but no coho were observed so peak was likely not captured.  The SEN's reported annual estimate of 6 does not match the total to date given in th 18 Sep SIL (26). It is unclear which of these is the appropriate value as no information is available regarding how the estimate was generated. Viewing conditions are not reported. Recommend review to determine an appropriate annual estimate, in the meantime, recommend changing annual estimate to A/P.",No coho inspections made after Sep 18.,,8*
cascade,8,northern_coastal,1993,38,38,N/O,1,1,2,,,,,N (OCT),"Coho were not observed in the single survey conducted this year (7 Oct). It is unclear how the annual estimate (38) was generated; it does not match the information given on the SIL, which lists no observed coho and does not mention an estimate in comments. The SEN indicates in comments that ""the coho estimate is what was observed during inspections only."" If this is true, then there must be more data that was not entered into the Access database. Based on the SIL data currently available, it seems more likely that coho were not observed this year. Viewing conditions are not reported. Although the survey was conducted in the SEN's indicated peak timing (OCT), it seems unlikely that peak was captured due to no spawners observed. Recommend review to determine an appropriate annual estimate, in the meantime, recommend changing annual estimate to N/O.",Water level was low during the spawning period. The coho estimate is what was observed during inspections only.,,1
cascade,8,northern_coastal,1994,NA,N/I,N/I,,,,,,,,,Coho not inspected this year.,,,
cascade,8,northern_coastal,1995,NA,UNK,A/P,1,,,,,,,N (NOV),"Coho were observed in 1/5 SILs (Sep 16). Peak timing is not provided on the SEN. Using the run timing listed in the stream catalogue, peak spawning occurs in NOV. Since the only survey in which coho were observed was on 16 Sep, peak spawning was likely missed. Viewing conditions are not reported. Recommend changing annual estimate to A/P.",,,5
cascade,8,northern_coastal,1996,NA,,N/O,5,,,,,,,N (NOV),"Coho were not observed in any of the 5 SILs (Aug 2 - Sep 17). Peak timing is not provided on the SEN. Using the run timing listed in the stream catalogue, peak spawning occurs in NOV. Since the last survey of the season was on 17 Sep, peak spawning was likely missed. Viewing conditions are not reported. Recommend changing the annual estimate to N/O.",,,5
cascade,8,northern_coastal,1997,NA,N/I,A/P,1,,,,,,,N (NOV),"According to the annual estimates provided from both NuSEDs and the SEN, coho was not inspected this year. However, there is a coho count provided on the 19 Sep SIL (10 adult live observed). While there may not have been any inspections specifically to target coho, the count provided clearly shows there were spawners observed in the system. Peak timing is not provided on the SEN. Using the run timing listed in the stream catalogue, peak spawning occurs in NOV. Since the only survey in which coho were observed was on 19 Sep, peak spawning was likely missed. Recommend changing annual estimate to A/P.",,,8
cascade,8,northern_coastal,1998,200,300,200,2,1,2,,,,,Y (SEP C),"Coho were observed in 3/10 SILs (Aug 20, Sep 17, 30). It is unclear how the annual estimate was generated, but surveyors note in the Annual Est. Rationale that they estimated 200 coho on the 30 Sep inspection. This description best matches the annual estimate of 200 from NuSEDs, not the estimate of 300 from the SEN. Comments from the SEN indicate that ""the [coho] escapement estimate is a best guess given the fact that coho are difficult to count and may spawn over a long period of time."" Viewing conditions are not reported. Recommend changing annual estimate to 200. ",More effort was directed at coho enumeration this year. The escapement estimate is a best guess given the fact that coho are difficult to count and may spawn over a long period of time. Individual counts were conducted as follows: Sep 17 - 25 coho estimated;  Sep 30 - 200 coho estimated.,,10
cascade,8,northern_coastal,1999,NA,150,A/P,UNK,1,2,,,,,N (SEP C),"Coho were observed in 4/7 SILs (Aug 30, Sep 12, 17, 30). Although there was a survey conducted in SEP C (peak timing as indicated on the SEN), the provided coho count of 1 and previous similar single-digit counts indicate that perhaps peak was not captured. Comments from the SEN indicate that the annual coho estimate was generated via undocumented expansion, though I am unsure of how a season total of 9 observed coho (some of which may be the same fish) can be reliably expanded to an estimate of 150. Viewing conditions are not reported. Recommend changing annual estimate to A/P.","Final Estimate calculation
Coho - undocumented expansion",,7
cascade,8,northern_coastal,2000,100,200,A/P,UNK,1,1,,,,,N (OCT B/C),"Coho were observed in 3/8 SILs (Aug 31, Sep 15, Oct 4). Although there was a survey conducted in mid-late Oct, there were no coho observed indicating that perhaps peak was not captured. There was a higher count from the 4 Oct survey (55), but it is unclear if this represents peak. There are no relevant comments in the SEN or SILs to explain how the estimate of 100 (NuSEDs) or 200 (SEN) was calculated. Viewing conditions are not reported. Recommend changing annual estimate to A/P.",,,8
cascade,8,northern_coastal,2001,250,250,A/P,1,,,,,,,N (NOV),"Coho were observed in 2/6 SILs (Sep 3, Oct 6). Peak timing is not provided on the SEN. Using the run timing listed in the stream catalogue, peak spawning occurs in NOV. Since the last survey was conducted on 6 Oct, peak was likely missed. There are no relevant comments in the SEN or SILs that explain how the annual estimate (250) was generated, but matches the value listed for 'Coho Adults' on the 6 Oct SIL. Viewing conditions varied significantly over the season and Coho Reliability is listed as 0. Recommend changing annual estimate to A/P due to incomplete survey coverage of run timing, multiple surveys done in poor viewing conditions, and low reliability score for coho.",,,6
cascade,8,northern_coastal,2002,160,160,A/P,UNK,,,,,,,N (NOV),"Coho were observed in 3/5 SILs (Aug 29, Sep 11, 22), though comments for the final survey on 27 Sep indicate that the surveyors did not count for coho (may have been spawners present). Peak timing is not provided on the SEN. Using the run timing listed in the stream catalogue, peak spawning occurs in NOV. Since the last survey was conducted on 27 Sep, peak spawning was likely missed. There are no relevant comments in the SEN or SILs that explain how the estimate was generated. The survey on 22 Sep survey listed 48 as the Coho Total, which was expanded to 100 Coho Adults. It is not clear how the annual estimate of 160 was generated. In-stream viewing conditions were Excellent for the surveys that counted coho, but there is a large disparity between recorded Coho Totals and Coho Adults (i.e. 11 Sep - 3 coho total to 50 coho adults), and it is unclear how these expansions were made. Recommend changing annual estimate to A/P due to incomplete survey coverage of run timing and lack of information regarding the estimate generation.",Combination of Charter Patrol- Hank Winning instream inspections and fixed wing aerial surveys- Fish Management.  Peak count estimates for coho and sockeye- low reliability.,,5
cascade,8,northern_coastal,2003,270,270,A/P,1,1&3,2,,,,,N (NOV),"Coho were observed in 2/7 SILs (Sep 26, Oct 13). Peak timing is listed on the SEN, but comments indicate peak as NOV A. Since the last survey was conducted on 13 Oct, peak spawning was likely missed. Surveyors note in Annual Est. Rationale that the coho estimate is ""an instream inspection of holding fish"". The final survey on 13 Oct survey listed 270 as the Coho Adults, which matches the provided annual estimate. In-stream viewing conditions were largely Poor - Fair this season. Recommend changing annual estimate to A/P due to incomplete survey coverage of run timing and poor viewing conditions.",Charter Patrol instream inspections and Fish Management/StAD overflights.  Coho inspections (1 flight and 2 walks) were early and peak is early November.  Escapement was an instream inspection of holding fish (as in previous years).,,7
cascade,8,northern_coastal,2004,500,500,500,1,,,12,4,5,,N (NOV),"Coho were observed in 4/7 SILs (Sep 3, 17, 28, Oct 16). Peak timing is not indicated on the SEN. Using the stream catalogue, peak spawning is estimated as NOV, at which point the survey period had ended. Estimate reliability and fish countability scores for these surveys seem decent, likely classified as Medium Resolution due to poor survey coverage of spawning period. The annual estimate (500) was generated based on the 16 Oct inspection. Coho spawning had reportedly just begun when this inspection was conducted, and the surveyor indicates that the annual escapement estimate is likely on the right order of magnitude (less than 1000), but probably conservative due to incomplete survey coverage of spawning period (AnnualEstRationale). Recommend changing estimate method from 12 (other) to 5 (expert opinion).","Coho were observed holding during 4 inspections.  For the inspection on Oct 16, it was just at the beginning of the coho spawn.  The West Fork was too silty to enumerate, so the coho count was expanded from 400 to 500 to account for fish that were missed.  As it was still early in the run timing for coho, this estimate was probably of the right order of magnitude, just at the lower end of the scale.  A flight of the system in mid-November was during poor conditions and no fish were observed. ",N/A,7
cascade,8,northern_coastal,2005,250,250,250,1,,,12,4,,,N (NOV),"Coho were observed in 3/7 SILs (Sep 15, 27, Oct 18). Peak timing is not indicated in the SEN. Using the stream catalogue, peak spawning is estimated as NOV, at which point the survey period had ended. Estimate reliability and fish countability scores for these surveys seem decent overall, likely classified as Medium Resolution due to poor survey coverage of spawning period. The annual estimate (250) was generated as an estimated total of holding coho from the 18 Oct inspection. The surveyor indicates that due to the lack of survey coverage later in the spawning period, this estimate should be viewed as conservative (AnnualEstRationale). "," The coho estimate was the number of fish estimated holding on October 18.  It was still early in the run timing, so this estimate should be viewed as conservative.",N/A,7
cascade,8,northern_coastal,2006,100,100,100,1,,,12,5,,4,N (OCT B),"Coho were observed in 5/6 SILs (Aug 29, Sep 8, Oct 3, 11, Nov 22). Peak timing is indicated in the SEN as OCT B, during which there were no surveys. The annual estimate (100) was reportedly generated as a combination of holding, spawning, and dead coho for the 13 Oct inspection (AnnualEstRationale), but a SIL for this date could not be located. The surveyors may have intended to reference the 11 Oct inspection where estimated adult live and dead coho are indicated as 90 and 10 respectively to yield a total of 100. Aside from the 8 Sep inspection, overall reliability and countability scores seem decent, unsure of why this is classified as a Low Resolution estimate. Recommend review to determine an appropriate classification, in the meantime, recommend estimate classification changed to 4. ","The coho estimate is the number of fish observed holding, spawning, and dead during the inspection on October 13.  Similar methodolgy has been used in recent years as an index of escapement, however, in 2006 some fish were spawning and dead already- usually at this time they are all holding.  There was a last attempt to enumerate coho on November 22, but there were no coho observed in the mainstem or the West Fork.",N/A,6
cascade,8,northern_coastal,2007,100,100,100,1,,,5,5,,,N (NOV),"Coho were observed in 4/6 SILs (Aug 17, 23, Sep 16, 23), though reportedly only one of these inspections was full-length. Estimate reliability and fish countability for these surveys seem less than ideal, likely classified as Low Resolution due to poor survey conditions and poor survey coverage of spawning period. Annual estimate (100) was generated as a 'peak' count from the 11 Sep inspection (though this occurred before active spawning had begun). The surveyors indicate that this estimate was used only as an index of abundance (AnnualEstRationale).","
Coho were counted 3 times, but only 1 walk was full length (no extrapolations possible-- or desirable, here). 100 coho was the maximum full length estimate (84 counted).  All of the coho were holding and it was still early in the run timing, therefore this estimate was used only as an index of abundance. ",N/A,6
cascade,8,northern_coastal,2008,NA,A/P,A/P,3,,,,6,,,N (NOV),"Coho were observed in 3/7 SILs (Sep 8, 16, Nov 22). Peak timing is not indicated in the SEN. Using the stream catalogue, peak spawning is estimated as NOV, though the 22 Nov inspection only saw dead coho. The highest showing of live coho was on the 16 Sep inspection (17 coho), which the surveyors note is too early in the spawning period to base an estimate off of (AnnualEstRationale). It is unclear if peak was captured this season. Surveyors opted to list ""A/P"" as the estimate due to missing peak surveys, and indicate that the coho return this year was likely small (AnnualEstRationale).","
Coho were seen twice, the highest count was on Sept 16 for a count of 17,  not late enough to make an annual estimate from. The last count on Nov 22 found no coho although evidence of redds was recorded. The inspections seemed to have missed the run although the return was likely small . ",N/A,7
