"year","ln_alpha","region","pfma"
1999,2.14882062317494,"Inner Waters","Area 6 - Inner"
2000,1.65821759020645,"Inner Waters","Area 6 - Inner"
2001,1.9223471444426,"Inner Waters","Area 6 - Inner"
2002,1.67242822834869,"Inner Waters","Area 6 - Inner"
2003,1.13436188504482,"Inner Waters","Area 6 - Inner"
2004,1.15229823956984,"Inner Waters","Area 6 - Inner"
2005,1.56353227956936,"Inner Waters","Area 6 - Inner"
2006,1.94523273298818,"Inner Waters","Area 6 - Inner"
2007,1.11092275046477,"Inner Waters","Area 6 - Inner"
2008,1.3071067408892,"Inner Waters","Area 6 - Inner"
2009,1.47329892082948,"Inner Waters","Area 6 - Inner"
2010,1.47168207807256,"Inner Waters","Area 6 - Inner"
2011,1.23288589492042,"Inner Waters","Area 6 - Inner"
2012,1.35387364593743,"Inner Waters","Area 6 - Inner"
2013,1.41250827581779,"Inner Waters","Area 6 - Inner"
2014,1.31556724441878,"Inner Waters","Area 6 - Inner"
2015,0.597598037408608,"Inner Waters","Area 6 - Inner"
2016,0.693849374178613,"Inner Waters","Area 6 - Inner"
2017,0.933039392151262,"Inner Waters","Area 6 - Inner"
2018,1.44743862710638,"Inner Waters","Area 6 - Inner"
2019,1.38879848981599,"Inner Waters","Area 6 - Inner"
2020,1.49329282030101,"Inner Waters","Area 6 - Inner"
1980,1.76054889983587,"Central Coast (South)","Area 7-10"
1981,1.68087056929957,"Central Coast (South)","Area 7-10"
1982,0.722601534712233,"Central Coast (South)","Area 7-10"
1983,0.587735682875093,"Central Coast (South)","Area 7-10"
1984,0.749574645511635,"Central Coast (South)","Area 7-10"
1985,0.67395656594201,"Central Coast (South)","Area 7-10"
1986,1.99831032639795,"Central Coast (South)","Area 7-10"
1987,1.93143036511558,"Central Coast (South)","Area 7-10"
1988,1.56633981387346,"Central Coast (South)","Area 7-10"
1989,1.35835533071627,"Central Coast (South)","Area 7-10"
1990,1.25347667752632,"Central Coast (South)","Area 7-10"
1991,1.46513424124895,"Central Coast (South)","Area 7-10"
1992,0.871058449373781,"Central Coast (South)","Area 7-10"
1993,0.871670428867161,"Central Coast (South)","Area 7-10"
1994,0.741271263846007,"Central Coast (South)","Area 7-10"
1995,1.11602112454593,"Central Coast (South)","Area 7-10"
1996,0.739321611490017,"Central Coast (South)","Area 7-10"
1997,1.47717223745949,"Central Coast (South)","Area 7-10"
1998,1.4639121213323,"Central Coast (South)","Area 7-10"
1999,1.63453320044601,"Central Coast (South)","Area 7-10"
2000,1.54659849073837,"Central Coast (South)","Area 7-10"
2001,1.69314329829528,"Central Coast (South)","Area 7-10"
2002,1.09079964224364,"Central Coast (South)","Area 7-10"
2003,0.541162058939833,"Central Coast (South)","Area 7-10"
2004,0.301605621704389,"Central Coast (South)","Area 7-10"
2005,0.873739762307321,"Central Coast (South)","Area 7-10"
2006,1.41875080156303,"Central Coast (South)","Area 7-10"
2007,1.38983303744582,"Central Coast (South)","Area 7-10"
2008,1.77415537310632,"Central Coast (South)","Area 7-10"
2009,1.01468240157171,"Central Coast (South)","Area 7-10"
2010,1.44351089924339,"Central Coast (South)","Area 7-10"
2011,1.0498524951766,"Central Coast (South)","Area 7-10"
2012,1.33363697810206,"Central Coast (South)","Area 7-10"
2013,0.514625100165109,"Central Coast (South)","Area 7-10"
2014,1.74882948652118,"Central Coast (South)","Area 7-10"
2015,0.267524247793283,"Central Coast (South)","Area 7-10"
2016,1.62415416545763,"Central Coast (South)","Area 7-10"
2017,0.411991049671643,"Central Coast (South)","Area 7-10"
2018,1.4781057091046,"Central Coast (South)","Area 7-10"
2019,0.976982743413274,"Central Coast (South)","Area 7-10"
2020,1.26971778205737,"Central Coast (South)","Area 7-10"
