SEASON,Logistical_Area,Year,MONTH,AREA,METHOD,ITEM_GROUP,Item,ADIPOSE_MODIFIER,Disposition,RETAINABLE,ESTIMATE,VARIANCE,UNITS,BCF,BCF_SD,ESTIMATE_CAL,VARIANCE_CAL,UNITS_CAL,SE_CAL,CALIBRATED,PROP_GUIDED,PROP_LODGE,PROP_RESIDENT
2024-2025,Central Coast,2025,1,Area 105,Angling from boat,LINGCOD,Lingcod,Not Applicable,Released,Unspecified,0,0,Pieces,0.76898,0.05721003,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Chinook,Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Chinook,Not Applicable,Released,Sublegal Size,0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Chinook,Not Checked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Chinook,Not Checked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Coho,Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Coho,Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Coho,Not Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Coho,Not Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Coho,Not Checked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,SALMON,Coho,Not Checked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,EFFORT,Adult effort,Not Applicable,N/A,N/A,2.28320802,2.929830843,Fisher days,1.74168,0.056963707,1.31092,0.96768,Boat trips,0.98371,Yes,1,0,1
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,HALIBUT,Halibut,Not Applicable,Kept,Legal Size,0,0,Pieces,1.05829,0.092467499,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,HALIBUT,Halibut,Not Applicable,Released,Unspecified,0,0,Pieces,1.33711,0.235809154,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,LINGCOD,Lingcod,Not Applicable,Kept,Legal Size,0,0,Pieces,1.18745,0.105912586,0,0,Pieces,0,Yes,0,0,0
2024-2025,Central Coast,2025,1,Area 106,Angling from boat,LINGCOD,Lingcod,Not Applicable,Released,Unspecified,0,0,Pieces,0.76898,0.05721003,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Chinook,Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Chinook,Not Applicable,Released,Sublegal Size,0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Chinook,Not Checked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Chinook,Not Checked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Coho,Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Coho,Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Coho,Not Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Coho,Not Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Coho,Not Checked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,SALMON,Coho,Not Checked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,EFFORT,Adult effort,Not Applicable,N/A,N/A,63.87314662,4015.905713,Fisher days,1.74168,0.056963707,36.6733,1325.31305,Boat trips,36.40485,Yes,0,0,1
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,FINFISH,Greenling,Not Applicable,Released,Unspecified,63.87314662,4015.905713,Pieces,1.65067,0.1840079,38.69529,1492.4896,Pieces,38.63275,Yes,0,0,1
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,HALIBUT,Halibut,Not Applicable,Kept,Legal Size,0,0,Pieces,1.05829,0.092467499,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,HALIBUT,Halibut,Not Applicable,Released,Unspecified,0,0,Pieces,1.33711,0.235809154,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,LINGCOD,Lingcod,Not Applicable,Kept,Legal Size,0,0,Pieces,1.18745,0.105912586,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Hardy,2025,1,Area 12,Angling from boat,LINGCOD,Lingcod,Not Applicable,Released,Unspecified,0,0,Pieces,0.76898,0.05721003,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Chinook,Adipose Marked,Released,Legal Size (All or Lower),6.84962406,26.36847758,Pieces,0.74061,0.042532353,9.24862,48.35563,Pieces,6.95382,Yes,1,0,1
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Chinook,Not Applicable,Released,Sublegal Size,0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Chinook,Not Checked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Chinook,Not Checked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Coho,Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Coho,Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Coho,Not Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Coho,Not Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Coho,Not Checked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,SALMON,Coho,Not Checked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,EFFORT,Adult effort,Not Applicable,N/A,N/A,2.28320802,2.929830843,Fisher days,1.74168,0.056963707,1.31092,0.96768,Boat trips,0.98371,Yes,1,0,1
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,HALIBUT,Halibut,Not Applicable,Kept,Legal Size,0,0,Pieces,1.05829,0.092467499,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,HALIBUT,Halibut,Not Applicable,Released,Unspecified,0,0,Pieces,1.33711,0.235809154,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,LINGCOD,Lingcod,Not Applicable,Kept,Legal Size,0,0,Pieces,1.18745,0.105912586,0,0,Pieces,0,Yes,0,0,0
2024-2025,Port Renfrew,2025,1,Area 121,Angling from boat,LINGCOD,Lingcod,Not Applicable,Released,Unspecified,0,0,Pieces,0.76898,0.05721003,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Chinook,Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Chinook,Not Applicable,Released,Sublegal Size,0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Chinook,Not Checked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Chinook,Not Checked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Coho,Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Coho,Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Coho,Not Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Coho,Not Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Coho,Not Checked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,SALMON,Coho,Not Checked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,EFFORT,Adult effort,Not Applicable,N/A,N/A,3.817204301,3.449572361,Fisher days,1.74168,0.056963707,2.19168,1.14232,Boat trips,1.06879,Yes,1,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,HALIBUT,Halibut,Not Applicable,Kept,Legal Size,0,0,Pieces,1.05829,0.092467499,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,HALIBUT,Halibut,Not Applicable,Released,Unspecified,0,0,Pieces,1.33711,0.235809154,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,LINGCOD,Lingcod,Not Applicable,Kept,Legal Size,0,0,Pieces,1.18745,0.105912586,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,LINGCOD,Lingcod,Not Applicable,Released,Unspecified,0,0,Pieces,0.76898,0.05721003,0,0,Pieces,0,Yes,0,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,FINFISH,Other and unknown finfish,Not Applicable,Released,Unspecified,11.4516129,62.42976067,Pieces,NA,NA,11.4516129,62.42976,Pieces,7.90125,No,1,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,ROCKFISH,Other and unknown rockfish,Not Applicable,Released,Unspecified,3.817204301,6.936640074,Pieces,NA,NA,3.817204301,6.93664,Pieces,2.63375,No,1,0,0
2024-2025,Tahsis/Nootka,2025,1,Area 125,Angling from boat,FINFISH,all flatfish but halibut,Not Applicable,Kept,Legal Size,19.08602151,173.4160018,Pieces,NA,NA,19.08602151,173.416,Pieces,13.16875,No,1,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Chinook,Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Chinook,Not Applicable,Released,Sublegal Size,0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Chinook,Not Checked,Kept,Legal Size (All or Lower),0,0,Pieces,0.91017,0.031935847,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Chinook,Not Checked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Coho,Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Coho,Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Coho,Not Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Coho,Not Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Coho,Not Checked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,SALMON,Coho,Not Checked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,EFFORT,Adult effort,Not Applicable,N/A,N/A,64.19596258,3992.729686,Fisher days,1.74168,0.056963707,36.85864,1317.68747,Boat trips,36.29997,Yes,0,0,1
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,HALIBUT,Halibut,Not Applicable,Kept,Legal Size,0,0,Pieces,1.05829,0.092467499,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,HALIBUT,Halibut,Not Applicable,Released,Unspecified,0,0,Pieces,1.33711,0.235809154,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,LINGCOD,Lingcod,Not Applicable,Kept,Legal Size,0,0,Pieces,1.18745,0.105912586,0,0,Pieces,0,Yes,0,0,0
2024-2025,Winter Harbour,2025,1,Area 127,Angling from boat,LINGCOD,Lingcod,Not Applicable,Released,Unspecified,0,0,Pieces,0.76898,0.05721003,0,0,Pieces,0,Yes,0,0,0
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,ROCKFISH,Black,Not Applicable,Released,Unspecified,43.41653418,1841.578906,Pieces,1.37359,0.178844429,31.60807,992.9959,Pieces,31.51184,Yes,0,0,1
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,ROCKFISH,China,Not Applicable,Released,Unspecified,191.6194399,36143.15142,Pieces,3.98174,0.853305563,48.12455,2386.07774,Pieces,48.84749,Yes,0,0,1
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Chinook,Adipose Marked,Kept,Legal Size (All or Lower),364.3030678,45779.86635,Pieces,0.91017,0.031935847,400.25827,55459.60642,Pieces,235.49863,Yes,0,0,1
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Chinook,Adipose Marked,Released,Legal Size (All or Lower),62.69368262,2394.782521,Pieces,0.74061,0.042532353,84.65141,4389.66572,Pieces,66.25455,Yes,0.78631,0,1
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Chinook,Not Adipose Marked,Kept,Legal Size (All or Lower),452.2368325,34862.61647,Pieces,0.91017,0.031935847,496.87073,42387.74727,Pieces,205.88285,Yes,0.06233,0,0.99218
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Chinook,Not Adipose Marked,Released,Legal Size (All or Lower),255.4925865,64254.49141,Pieces,0.74061,0.042532353,344.97588,117537.6569,Pieces,342.83765,Yes,0,0,1
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Chinook,Not Applicable,Released,Sublegal Size,1101.655496,438549.7917,Pieces,0.74061,0.042532353,1487.49746,806836.675,Pieces,898.24088,Yes,0.00736,0,0.99679
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Chinook,Not Checked,Kept,Legal Size (All or Lower),4.56641604,5.844938917,Pieces,0.91017,0.031935847,5.0171,7.08661,Pieces,2.66207,Yes,1,0,1
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Chinook,Not Checked,Released,Legal Size (All or Lower),0,0,Pieces,0.74061,0.042532353,0,0,Pieces,0,Yes,0,0,0
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Coho,Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Coho,Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Coho,Not Adipose Marked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Coho,Not Adipose Marked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Coho,Not Checked,Kept,Legal Size,0,0,Pieces,0.91962,0.042070774,0,0,Pieces,0,Yes,0,0,0
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,SALMON,Coho,Not Checked,Released,Unspecified,0,0,Pieces,0.87027,0.039229669,0,0,Pieces,0,Yes,0,0,0
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,ROCKFISH,Copper,Not Applicable,Released,Unspecified,63.87314662,4015.905713,Pieces,NA,NA,63.87314662,4015.90571,Pieces,63.37117,No,0,0,1
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,EFFORT,Adult effort,Not Applicable,N/A,N/A,1243.728711,258994.4008,Fisher days,1.74168,0.056963707,714.09714,85924.98193,Boat trips,293.12963,Yes,0.02633,0,0.99562
2024-2025,Campbell River,2025,1,Area 13,Angling from boat,EFFORT,Juvenile effort,Not Applicable,N/A,N/A,191.6194399,20066.28568,Fisher days,1.74168,0.056963707,110.01989,6627.95427,Boat trips,81.41225,Yes,0,0,1
